기간	국가별	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	국가별	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	강남역	신촌/홍대주변
2012	전체	82.5	74.5	59.4	38.5	39.1	35	31.7	27.1	28.2	21.4	20
2012	일본	73.7	84.3	46.4	41.8	22.3	18.7	30.1	10	13.3	9.7	15.5
2012	중국	86.2	82.4	75.6	32.8	36.9	42.2	25.4	29.9	44	15.2	21.3
2012	홍콩	94.6	79.7	66.4	37.2	30	28	32.5	25	37.5	28.1	25.3
2012	싱가포르	92.1	74.2	67.4	48.6	55.6	37.1	38.4	34.8	40.1	30.3	25.4
2012	대만	94.4	80.3	90	21.9	36.7	48.4	23	31.8	49.4	13.2	32
2012	태국	97.9	88.9	86.3	59.3	86.6	76.4	34.1	52.7	16	23.1	14.1
2012	말레이시아	97.1	73.7	78.3	57.1	63	38.7	32.2	42.7	37.5	43.8	16.5
2012	호주	85.4	53.1	35.3	37.1	53.6	34.1	49.8	35.6	16.5	40.5	19.7
2012	미국	86	40.2	34.1	34.3	51.9	32.8	41.2	40.5	19.4	50.8	20.1
2012	캐나다	86.4	52.5	45.7	45.8	61.6	39	50	43.6	20.1	48.3	26.3
2012	영국	79.2	43.9	28.8	33.6	49.8	35.5	42.3	33	15.1	42.9	19.7
2012	독일	78.9	36.2	30.5	29.6	53.2	38.8	36.6	32	13.1	34.5	19.9
2012	프랑스	86.4	55.5	40.6	42.7	62.7	47	58.8	38.4	22.6	46.4	29.7
2012	러시아	72.6	40.5	58.5	43.7	52.1	36.9	29.4	32.9	42.2	31.6	13.4
2012	중동	83.7	42.8	59.5	46.6	41.3	34.8	33.5	31.9	32	39.5	15.6
2012	인도	81.4	33.7	45.3	48.3	48.5	41.8	32.9	39	34.3	44.7	13.9
2012	기타	82.6	52	44.7	43.5	62.9	44.7	45.1	44.7	25.2	39.9	23.9
